Thorlabs Beam
X-Y Profiles Data Export
Version: 9.0.5741.535

Date d.M.yyyy	28.3.2025
Time H:mm:ss	13:36:03

Device: 	BC106N-VIS
S/N: 	M00311551

Pos X [µm]	X Value [%]	Pos Y [µm]	Y Value [%]	
-3508,799896	0,609756	-2638,049922	0,714869	
-3502,349896	0,548780	-2631,599922	0,689338	
-3495,899897	0,670732	-2625,149922	0,760825	
-3489,449897	0,604213	-2618,699923	0,781250	
-3482,999897	0,620843	-2612,249923	0,699551	
-3476,549897	0,559867	-2605,799923	0,689338	
-3470,099897	0,665188	-2599,349923	0,760825	
-3463,649898	0,570953	-2592,899923	0,735294	
-3457,199898	0,631929	-2586,449924	0,791462	
-3450,749898	0,565410	-2579,999924	0,791462	
-3444,299898	0,648559	-2573,549924	0,725082	
-3437,849898	0,582040	-2567,099924	0,725082	
-3431,399899	0,626386	-2560,649924	0,699551	
-3424,949899	0,604213	-2554,199924	0,750613	
-3418,499899	0,670732	-2547,749925	0,735294	
-3412,049899	0,604213	-2541,299925	0,755719	
-3405,599899	0,654102	-2534,849925	0,684232	
-3399,149899	0,559867	-2528,399925	0,740400	
-3392,699900	0,659645	-2521,949925	0,689338	
-3386,249900	0,532151	-2515,499926	0,735294	
-3379,799900	0,637472	-2509,049926	0,740400	
-3373,349900	0,543237	-2502,599926	0,658701	
-3366,899900	0,654102	-2496,149926	0,709763	
-3360,449901	0,543237	-2489,699926	0,668913	
-3353,999901	0,659645	-2483,249927	0,735294	
-3347,549901	0,576497	-2476,799927	0,699551	
-3341,099901	0,709534	-2470,349927	0,730188	
-3334,649901	0,565410	-2463,899927	0,730188	
-3328,199902	0,692905	-2457,449927	0,689338	
-3321,749902	0,576497	-2450,999928	0,750613	
-3315,299902	0,670732	-2444,549928	0,786356	
-3308,849902	0,582040	-2438,099928	0,735294	
-3302,399902	0,681818	-2431,649928	0,745507	
-3295,949903	0,626386	-2425,199928	0,771038	
-3289,499903	0,715078	-2418,749928	0,750613	
-3283,049903	0,582040	-2412,299929	0,704657	
-3276,599903	0,665188	-2405,849929	0,735294	
-3270,149903	0,626386	-2399,399929	0,781250	
-3263,699903	0,670732	-2392,949929	0,765931	
-3257,249904	0,587583	-2386,499929	0,719976	
-3250,799904	0,637472	-2380,049930	0,786356	
-3244,349904	0,643016	-2373,599930	0,776144	
-3237,899904	0,665188	-2367,149930	0,714869	
-3231,449904	0,626386	-2360,699930	0,745507	
-3224,999905	0,648559	-2354,249930	0,704657	
-3218,549905	0,598670	-2347,799931	0,771038	
-3212,099905	0,654102	-2341,349931	0,704657	
-3205,649905	0,587583	-2334,899931	0,709763	
-3199,199905	0,593126	-2328,449931	0,719976	
-3192,749906	0,598670	-2321,999931	0,786356	
-3186,299906	0,626386	-2315,549932	0,811887	
-3179,849906	0,637472	-2309,099932	0,694444	
-3173,399906	0,643016	-2302,649932	0,674020	
-3166,949906	0,593126	-2296,199932	0,725082	
-3160,499907	0,593126	-2289,749932	0,704657	
-3154,049907	0,604213	-2283,299932	0,740400	
-3147,599907	0,631929	-2276,849933	0,755719	
-3141,149907	0,587583	-2270,399933	0,791462	
-3134,699907	0,670732	-2263,949933	0,730188	
-3128,249907	0,604213	-2257,499933	0,760825	
-3121,799908	0,703991	-2251,049933	0,776144	
-3115,349908	0,582040	-2244,599934	0,771038	
-3108,899908	0,670732	-2238,149934	0,801675	
-3102,449908	0,687361	-2231,699934	0,730188	
-3095,999908	0,698448	-2225,249934	0,730188	
-3089,549909	0,620843	-2218,799934	0,811887	
-3083,099909	0,665188	-2212,349935	0,735294	
-3076,649909	0,593126	-2205,899935	0,786356	
-3070,199909	0,648559	-2199,449935	0,740400	
-3063,749909	0,543237	-2192,999935	0,735294	
-3057,299910	0,659645	-2186,549935	0,725082	
-3050,849910	0,593126	-2180,099936	0,719976	
-3044,399910	0,698448	-2173,649936	0,740400	
-3037,949910	0,576497	-2167,199936	0,745507	
-3031,499910	0,681818	-2160,749936	0,745507	
-3025,049911	0,598670	-2154,299936	0,735294	
-3018,599911	0,609756	-2147,849936	0,740400	
-3012,149911	0,604213	-2141,399937	0,714869	
-3005,699911	0,648559	-2134,949937	0,684232	
-2999,249911	0,582040	-2128,499937	0,668913	
-2992,799911	0,670732	-2122,049937	0,735294	
-2986,349912	0,582040	-2115,599937	0,776144	
-2979,899912	0,681818	-2109,149938	0,771038	
-2973,449912	0,609756	-2102,699938	0,786356	
-2966,999912	0,659645	-2096,249938	0,760825	
-2960,549912	0,554324	-2089,799938	0,730188	
-2954,099913	0,676275	-2083,349938	0,730188	
-2947,649913	0,587583	-2076,899939	0,684232	
-2941,199913	0,687361	-2070,449939	0,725082	
-2934,749913	0,587583	-2063,999939	0,750613	
-2928,299913	0,648559	-2057,549939	0,740400	
-2921,849914	0,615299	-2051,099939	0,755719	
