d / dilky	  d / nm	signal
  24.7000	 780.397	    5
  24.7003	 780.417	    4
  24.7007	 780.436	    5
  24.7011	 780.456	    4
  24.7015	 780.476	    5
  24.7018	 780.495	    4
  24.7022	 780.515	    5
  24.7026	 780.534	    4
  24.7029	 780.554	    5
  24.7033	 780.573	    4
  24.7037	 780.593	    5
  24.7040	 780.612	    4
  24.7044	 780.632	    5
  24.7048	 780.652	    4
  24.7051	 780.671	    5
  24.7055	 780.691	    5
  24.7059	 780.710	    5
  24.7063	 780.730	    5
  24.7066	 780.749	    5
  24.7070	 780.769	    4
  24.7074	 780.789	    5
  24.7077	 780.808	    4
  24.7081	 780.828	    5
  24.7085	 780.847	    4
  24.7088	 780.867	    5
  24.7092	 780.886	    4
  24.7096	 780.906	    5
  24.7100	 780.926	    4
  24.7103	 780.945	    5
  24.7107	 780.965	    4
  24.7111	 780.984	    5
  24.7114	 781.004	    4
  24.7118	 781.023	    5
  24.7122	 781.043	    4
  24.7125	 781.063	    5
  24.7129	 781.082	    4
  24.7133	 781.102	    5
  24.7137	 781.121	    4
  24.7140	 781.141	    5
  24.7144	 781.160	    4
  24.7148	 781.180	    5
  24.7151	 781.199	    4
  24.7155	 781.219	    5
  24.7159	 781.239	    4
  24.7162	 781.258	    5
  24.7166	 781.278	    4
  24.7170	 781.297	    5
  24.7174	 781.317	    4
  24.7177	 781.336	    5
  24.7181	 781.356	    4
  24.7185	 781.376	    5
  24.7188	 781.395	    4
  24.7192	 781.415	    5
  24.7196	 781.434	    4
  24.7199	 781.454	    5
  24.7203	 781.473	    4
  24.7207	 781.493	    5
  24.7211	 781.513	    4
  24.7214	 781.532	    5
  24.7218	 781.552	    4
  24.7222	 781.571	    5
  24.7225	 781.591	    4
  24.7229	 781.610	    5
  24.7233	 781.630	    4
  24.7236	 781.649	    5
  24.7240	 781.669	    4
  24.7244	 781.689	    5
  24.7248	 781.708	    4
  24.7251	 781.728	    5
  24.7255	 781.747	    4
  24.7259	 781.767	    5
  24.7262	 781.786	    5
  24.7266	 781.806	    5
  24.7270	 781.826	    4
  24.7273	 781.845	    5
  24.7277	 781.865	    4
  24.7281	 781.884	    5
  24.7284	 781.904	    5
  24.7288	 781.923	    5
  24.7292	 781.943	    4
  24.7296	 781.963	    5
  24.7299	 781.982	    4
  24.7303	 782.002	    5
  24.7307	 782.021	    4
  24.7310	 782.041	    5
  24.7314	 782.060	    4
  24.7318	 782.080	    5
  24.7321	 782.100	    4
  24.7325	 782.119	    5
  24.7329	 782.139	    4
  24.7333	 782.158	    5
  24.7336	 782.178	    4
  24.7340	 782.197	    5
  24.7344	 782.217	    4
  24.7347	 782.236	    5
  24.7351	 782.256	    5
  24.7355	 782.276	    5
  24.7358	 782.295	    4
  24.7362	 782.315	    5
  24.7366	 782.334	    4
  24.7370	 782.354	    5
  24.7373	 782.373	    4
  24.7377	 782.393	    5
  24.7381	 782.413	    4
  24.7384	 782.432	    5
  24.7388	 782.452	    4
  24.7392	 782.471	    5
  24.7395	 782.491	    4
  24.7399	 782.510	    5
  24.7403	 782.530	    4
  24.7407	 782.550	    5
  24.7410	 782.569	    5
  24.7414	 782.589	    5
  24.7418	 782.608	    5
  24.7421	 782.628	    5
  24.7425	 782.647	    4
  24.7429	 782.667	    5
  24.7432	 782.686	    5
  24.7436	 782.706	    5
  24.7440	 782.726	    5
  24.7444	 782.745	    5
  24.7447	 782.765	    4
  24.7451	 782.784	    5
  24.7455	 782.804	    5
  24.7458	 782.823	    5
  24.7462	 782.843	    5
  24.7466	 782.863	    5
  24.7469	 782.882	    5
  24.7473	 782.902	    5
  24.7477	 782.921	    5
  24.7481	 782.941	    5
  24.7484	 782.960	    5
  24.7488	 782.980	    5
