d / dilky	  d / nm	signal
  24.5838	 774.254	   11
  24.5842	 774.273	   11
  24.5846	 774.293	   12
  24.5850	 774.312	   11
  24.5853	 774.332	   12
  24.5857	 774.351	   11
  24.5861	 774.371	   12
  24.5864	 774.391	   11
  24.5868	 774.410	   12
  24.5872	 774.430	   11
  24.5875	 774.449	   11
  24.5879	 774.469	   11
  24.5883	 774.488	   11
  24.5886	 774.508	   11
  24.5890	 774.527	   11
  24.5894	 774.547	   11
  24.5898	 774.567	   11
  24.5901	 774.586	   11
  24.5905	 774.606	   11
  24.5909	 774.625	   11
  24.5912	 774.645	   11
  24.5916	 774.664	   11
  24.5920	 774.684	   11
  24.5923	 774.704	   11
  24.5927	 774.723	   11
  24.5931	 774.743	   11
  24.5935	 774.762	   11
  24.5938	 774.782	   11
  24.5942	 774.801	   11
  24.5946	 774.821	   11
  24.5949	 774.841	   11
  24.5953	 774.860	   11
  24.5957	 774.880	   11
  24.5960	 774.899	   10
  24.5964	 774.919	   10
  24.5968	 774.938	   10
  24.5972	 774.958	   10
  24.5975	 774.977	   10
  24.5979	 774.997	   10
  24.5983	 775.017	   10
  24.5986	 775.036	   10
  24.5990	 775.056	   10
  24.5994	 775.075	   10
  24.5997	 775.095	   10
  24.6001	 775.114	   10
  24.6005	 775.134	    9
  24.6009	 775.154	   10
  24.6012	 775.173	    9
  24.6016	 775.193	   10
  24.6020	 775.212	    9
  24.6023	 775.232	    9
  24.6027	 775.251	    9
  24.6031	 775.271	    9
  24.6034	 775.291	    9
  24.6038	 775.310	    9
  24.6042	 775.330	    9
  24.6046	 775.349	    9
  24.6049	 775.369	    9
  24.6053	 775.388	    9
  24.6057	 775.408	    9
  24.6060	 775.428	    9
  24.6064	 775.447	    9
  24.6068	 775.467	    9
  24.6071	 775.486	    8
  24.6075	 775.506	    9
  24.6079	 775.525	    8
  24.6083	 775.545	    8
  24.6086	 775.564	    8
  24.6090	 775.584	    8
  24.6094	 775.604	    8
  24.6097	 775.623	    8
  24.6101	 775.643	    8
  24.6105	 775.662	    8
  24.6108	 775.682	    8
  24.6112	 775.701	    8
  24.6116	 775.721	    8
  24.6119	 775.741	    8
  24.6123	 775.760	    8
  24.6127	 775.780	    8
  24.6131	 775.799	    8
  24.6134	 775.819	    8
  24.6138	 775.838	    8
  24.6142	 775.858	    8
  24.6145	 775.878	    8
  24.6149	 775.897	    8
  24.6153	 775.917	    8
  24.6156	 775.936	    8
  24.6160	 775.956	    8
  24.6164	 775.975	    8
  24.6168	 775.995	    8
  24.6171	 776.014	    8
  24.6175	 776.034	    8
  24.6179	 776.054	    8
  24.6182	 776.073	    8
  24.6186	 776.093	    8
  24.6190	 776.112	    8
  24.6193	 776.132	    8
  24.6197	 776.151	    8
  24.6201	 776.171	    8
  24.6205	 776.191	    8
  24.6208	 776.210	    8
  24.6212	 776.230	    8
  24.6216	 776.249	    8
  24.6219	 776.269	    8
  24.6223	 776.288	    8
  24.6227	 776.308	    8
  24.6230	 776.328	    8
  24.6234	 776.347	    8
  24.6238	 776.367	    8
  24.6242	 776.386	    8
  24.6245	 776.406	    8
  24.6249	 776.425	    8
  24.6253	 776.445	    8
  24.6256	 776.465	    8
  24.6260	 776.484	    8
  24.6264	 776.504	    8
  24.6267	 776.523	    8
  24.6271	 776.543	    8
  24.6275	 776.562	    8
  24.6279	 776.582	    8
  24.6282	 776.601	    8
  24.6286	 776.621	    8
  24.6290	 776.641	    8
  24.6293	 776.660	    8
  24.6297	 776.680	    8
  24.6301	 776.699	    8
  24.6304	 776.719	    8
  24.6308	 776.738	    8
  24.6312	 776.758	    8
  24.6316	 776.778	    8
  24.6319	 776.797	    8
  24.6323	 776.817	    8
  24.6327	 776.836	    8
  24.6330	 776.856	    7
  24.6334	 776.875	    8
  24.6338	 776.895	    8
  24.6341	 776.915	    8
  24.6345	 776.934	    8
  24.6349	 776.954	    8
  24.6352	 776.973	    8
  24.6356	 776.993	    8
  24.6360	 777.012	    8
  24.6364	 777.032	    8
  24.6367	 777.051	    8
  24.6371	 777.071	    8
  24.6375	 777.091	    8
  24.6378	 777.110	    8
  24.6382	 777.130	    8
  24.6386	 777.149	    8
  24.6389	 777.169	    8
  24.6393	 777.188	    8
  24.6397	 777.208	    8
  24.6401	 777.228	    8
  24.6404	 777.247	    8
  24.6408	 777.267	    8
  24.6412	 777.286	    8
  24.6415	 777.306	    8
  24.6419	 777.325	    8
  24.6423	 777.345	    8
  24.6426	 777.365	    8
  24.6430	 777.384	    8
  24.6434	 777.404	    8
  24.6438	 777.423	    8
  24.6441	 777.443	    8
  24.6445	 777.462	    8
  24.6449	 777.482	    8
  24.6452	 777.502	    8
  24.6456	 777.521	    8
  24.6460	 777.541	    8
  24.6463	 777.560	    8
  24.6467	 777.580	    8
  24.6471	 777.599	    8
  24.6475	 777.619	    8
  24.6478	 777.638	    8
  24.6482	 777.658	    8
  24.6486	 777.678	    8
  24.6489	 777.697	    8
  24.6493	 777.717	    8
  24.6497	 777.736	    8
  24.6500	 777.756	    8
  24.6504	 777.775	    8
  24.6508	 777.795	    8
  24.6512	 777.815	    8
  24.6515	 777.834	    8
  24.6519	 777.854	    8
  24.6523	 777.873	    8
  24.6526	 777.893	    8
  24.6530	 777.912	    8
  24.6534	 777.932	    8
  24.6537	 777.952	    8
  24.6541	 777.971	    8
  24.6545	 777.991	    8
  24.6549	 778.010	    8
  24.6552	 778.030	    8
  24.6556	 778.049	    8
  24.6560	 778.069	    8
  24.6563	 778.088	    8
  24.6567	 778.108	    8
  24.6571	 778.128	    8
  24.6574	 778.147	    8
  24.6578	 778.167	    8
  24.6582	 778.186	    8
  24.6585	 778.206	    8
  24.6589	 778.225	    8
  24.6593	 778.245	    8
  24.6597	 778.265	    8
  24.6600	 778.284	    8
  24.6604	 778.304	    8
  24.6608	 778.323	    8
  24.6611	 778.343	    8
  24.6615	 778.362	    8
  24.6619	 778.382	    8
  24.6622	 778.402	    8
  24.6626	 778.421	    8
  24.6630	 778.441	    8
  24.6634	 778.460	    8
  24.6637	 778.480	    8
  24.6641	 778.499	    8
  24.6645	 778.519	    8
  24.6648	 778.539	    8
  24.6652	 778.558	    8
  24.6656	 778.578	    8
  24.6659	 778.597	    8
  24.6663	 778.617	    8
  24.6667	 778.636	    8
  24.6671	 778.656	    8
  24.6674	 778.675	    8
  24.6678	 778.695	    8
  24.6682	 778.715	    8
  24.6685	 778.734	    8
  24.6689	 778.754	    8
  24.6693	 778.773	    8
  24.6696	 778.793	    8
  24.6700	 778.812	    8
  24.6704	 778.832	    8
  24.6708	 778.852	    8
  24.6711	 778.871	    8
  24.6715	 778.891	    8
  24.6719	 778.910	    8
  24.6722	 778.930	    8
  24.6726	 778.949	    8
  24.6730	 778.969	    8
  24.6733	 778.989	    8
  24.6737	 779.008	    8
  24.6741	 779.028	    8
  24.6745	 779.047	    8
  24.6748	 779.067	    8
  24.6752	 779.086	    8
  24.6756	 779.106	    8
  24.6759	 779.125	    8
  24.6763	 779.145	    8
  24.6767	 779.165	    8
  24.6770	 779.184	    8
  24.6774	 779.204	    8
  24.6778	 779.223	    9
  24.6782	 779.243	    8
  24.6785	 779.262	    9
  24.6789	 779.282	    8
  24.6793	 779.302	    9
  24.6796	 779.321	    8
  24.6800	 779.341	    8
  24.6804	 779.360	    8
  24.6807	 779.380	    9
  24.6811	 779.399	    8
  24.6815	 779.419	    9
  24.6818	 779.439	    9
  24.6822	 779.458	    9
  24.6826	 779.478	    9
  24.6830	 779.497	    9
  24.6833	 779.517	    8
  24.6837	 779.536	    9
  24.6841	 779.556	    8
  24.6844	 779.575	    9
  24.6848	 779.595	    9
  24.6852	 779.615	    9
  24.6855	 779.634	    8
  24.6859	 779.654	    9
  24.6863	 779.673	    9
  24.6867	 779.693	    9
  24.6870	 779.712	    9
  24.6874	 779.732	    9
  24.6878	 779.752	    9
  24.6881	 779.771	    9
  24.6885	 779.791	    9
  24.6889	 779.810	    9
  24.6892	 779.830	    9
  24.6896	 779.849	    9
  24.6900	 779.869	    9
  24.6904	 779.889	    9
  24.6907	 779.908	    9
  24.6911	 779.928	    9
  24.6915	 779.947	    9
  24.6918	 779.967	    9
  24.6922	 779.986	    9
  24.6926	 780.006	    9
  24.6929	 780.026	    9
  24.6933	 780.045	    9
  24.6937	 780.065	    9
  24.6941	 780.084	    9
  24.6944	 780.104	    9
  24.6948	 780.123	    9
  24.6952	 780.143	    9
  24.6955	 780.162	    9
  24.6959	 780.182	    9
  24.6963	 780.202	    9
  24.6966	 780.221	    9
  24.6970	 780.241	    9
  24.6974	 780.260	    9
  24.6978	 780.280	    9
  24.6981	 780.299	    9
  24.6985	 780.319	    9
  24.6989	 780.339	    9
  24.6992	 780.358	    9
  24.6996	 780.378	    9
  24.7000	 780.397	    9
  24.7003	 780.417	    9
  24.7007	 780.436	    9
  24.7011	 780.456	    9
  24.7015	 780.476	    9
  24.7018	 780.495	    9
  24.7022	 780.515	    9
  24.7026	 780.534	    9
  24.7029	 780.554	    9
  24.7033	 780.573	    9
  24.7037	 780.593	    9
  24.7040	 780.612	    9
  24.7044	 780.632	   10
  24.7048	 780.652	    9
  24.7051	 780.671	    9
  24.7055	 780.691	    9
  24.7059	 780.710	    9
  24.7063	 780.730	    9
  24.7066	 780.749	    9
  24.7070	 780.769	    9
  24.7074	 780.789	   10
  24.7077	 780.808	    9
  24.7081	 780.828	   10
  24.7085	 780.847	    9
  24.7088	 780.867	   10
  24.7092	 780.886	    9
  24.7096	 780.906	   10
  24.7100	 780.926	   10
  24.7103	 780.945	   10
  24.7107	 780.965	    9
  24.7111	 780.984	   10
  24.7114	 781.004	    9
  24.7118	 781.023	   10
  24.7122	 781.043	    9
  24.7125	 781.063	   10
  24.7129	 781.082	   10
  24.7133	 781.102	   10
  24.7137	 781.121	   10
  24.7140	 781.141	   10
  24.7144	 781.160	   10
  24.7148	 781.180	   10
  24.7151	 781.199	   10
  24.7155	 781.219	   10
  24.7159	 781.239	   10
  24.7162	 781.258	   10
  24.7166	 781.278	   10
  24.7170	 781.297	   10
  24.7174	 781.317	   10
  24.7177	 781.336	   10
  24.7181	 781.356	   10
  24.7185	 781.376	   10
  24.7188	 781.395	   10
  24.7192	 781.415	   10
  24.7196	 781.434	   10
  24.7199	 781.454	   10
  24.7203	 781.473	   10
  24.7207	 781.493	   10
  24.7211	 781.513	   10
  24.7214	 781.532	   10
  24.7218	 781.552	   10
  24.7222	 781.571	   10
  24.7225	 781.591	   10
  24.7229	 781.610	   10
  24.7233	 781.630	   10
  24.7236	 781.649	   10
  24.7240	 781.669	   10
  24.7244	 781.689	   10
  24.7248	 781.708	   10
  24.7251	 781.728	   10
  24.7255	 781.747	   10
  24.7259	 781.767	   10
  24.7262	 781.786	   10
  24.7266	 781.806	   10
  24.7270	 781.826	   10
  24.7273	 781.845	   10
  24.7277	 781.865	   10
  24.7281	 781.884	   10
  24.7284	 781.904	   10
  24.7288	 781.923	   11
  24.7292	 781.943	   10
  24.7296	 781.963	   11
  24.7299	 781.982	   11
  24.7303	 782.002	   11
  24.7307	 782.021	   11
  24.7310	 782.041	   11
  24.7314	 782.060	   11
  24.7318	 782.080	   11
  24.7321	 782.100	   11
  24.7325	 782.119	   11
  24.7329	 782.139	   11
  24.7333	 782.158	   11
  24.7336	 782.178	   11
  24.7340	 782.197	   11
  24.7344	 782.217	   11
  24.7347	 782.236	   11
  24.7351	 782.256	   11
  24.7355	 782.276	   11
  24.7358	 782.295	   11
  24.7362	 782.315	   11
  24.7366	 782.334	   11
  24.7370	 782.354	   11
  24.7373	 782.373	   11
  24.7377	 782.393	   11
  24.7381	 782.413	   11
  24.7384	 782.432	   11
  24.7388	 782.452	   11
  24.7392	 782.471	   12
  24.7395	 782.491	   11
  24.7399	 782.510	   12
  24.7403	 782.530	   11
  24.7407	 782.550	   12
  24.7410	 782.569	   11
  24.7414	 782.589	   12
  24.7418	 782.608	   12
  24.7421	 782.628	   12
  24.7425	 782.647	   12
  24.7429	 782.667	   12
  24.7432	 782.686	   12
  24.7436	 782.706	   12
  24.7440	 782.726	   12
  24.7444	 782.745	   12
  24.7447	 782.765	   12
  24.7451	 782.784	   12
  24.7455	 782.804	   12
  24.7458	 782.823	   12
  24.7462	 782.843	   12
  24.7466	 782.863	   12
  24.7469	 782.882	   12
  24.7473	 782.902	   12
  24.7477	 782.921	   12
  24.7481	 782.941	   12
  24.7484	 782.960	   12
  24.7488	 782.980	   12
  24.7492	 783.000	   12
  24.7495	 783.019	   13
  24.7499	 783.039	   12
  24.7503	 783.058	   13
  24.7506	 783.078	   12
  24.7510	 783.097	   13
  24.7514	 783.117	   13
  24.7517	 783.137	   13
  24.7521	 783.156	   13
  24.7525	 783.176	   13
  24.7529	 783.195	   13
  24.7532	 783.215	   13
  24.7536	 783.234	   13
  24.7540	 783.254	   13
  24.7543	 783.273	   13
  24.7547	 783.293	   13
  24.7551	 783.313	   13
  24.7554	 783.332	   13
  24.7558	 783.352	   13
  24.7562	 783.371	   14
  24.7566	 783.391	   13
  24.7569	 783.410	   14
  24.7573	 783.430	   13
  24.7577	 783.450	   14
  24.7580	 783.469	   13
  24.7584	 783.489	   14
  24.7588	 783.508	   14
  24.7591	 783.528	   14
  24.7595	 783.547	   14
  24.7599	 783.567	   14
  24.7603	 783.587	   14
  24.7606	 783.606	   14
  24.7610	 783.626	   14
  24.7614	 783.645	   14
  24.7617	 783.665	   14
  24.7621	 783.684	   14
  24.7625	 783.704	   14
  24.7628	 783.723	   14
  24.7632	 783.743	   14
  24.7636	 783.763	   15
  24.7640	 783.782	   15
  24.7643	 783.802	   15
  24.7647	 783.821	   15
  24.7651	 783.841	   15
  24.7654	 783.860	   15
  24.7658	 783.880	   15
  24.7662	 783.900	   15
  24.7665	 783.919	   16
  24.7669	 783.939	   15
  24.7673	 783.958	   16
  24.7677	 783.978	   15
  24.7680	 783.997	   16
  24.7684	 784.017	   16
  24.7688	 784.037	   16
  24.7691	 784.056	   16
  24.7695	 784.076	   16
  24.7699	 784.095	   16
  24.7702	 784.115	   17
  24.7706	 784.134	   16
  24.7710	 784.154	   17
  24.7714	 784.174	   17
  24.7717	 784.193	   17
  24.7721	 784.213	   17
  24.7725	 784.232	   17
  24.7728	 784.252	   17
  24.7732	 784.271	   18
  24.7736	 784.291	   17
  24.7739	 784.310	   18
  24.7743	 784.330	   18
  24.7747	 784.350	   18
  24.7750	 784.369	   18
  24.7754	 784.389	   18
  24.7758	 784.408	   18
  24.7762	 784.428	   19
  24.7765	 784.447	   19
  24.7769	 784.467	   19
  24.7773	 784.487	   19
  24.7776	 784.506	   19
  24.7780	 784.526	   19
  24.7784	 784.545	   20
  24.7787	 784.565	   20
  24.7791	 784.584	   20
  24.7795	 784.604	   20
  24.7799	 784.624	   20
  24.7802	 784.643	   20
  24.7806	 784.663	   21
  24.7810	 784.682	   21
  24.7813	 784.702	   21
  24.7817	 784.721	   21
  24.7821	 784.741	   22
  24.7824	 784.760	   22
  24.7828	 784.780	   22
  24.7832	 784.800	   22
  24.7836	 784.819	   22
  24.7839	 784.839	   22
  24.7843	 784.858	   23
  24.7847	 784.878	   23
  24.7850	 784.897	   23
  24.7854	 784.917	   24
  24.7858	 784.937	   24
  24.7861	 784.956	   24
  24.7865	 784.976	   24
  24.7869	 784.995	   25
  24.7873	 785.015	   25
  24.7876	 785.034	   25
  24.7880	 785.054	   26
  24.7884	 785.074	   26
  24.7887	 785.093	   26
  24.7891	 785.113	   27
  24.7895	 785.132	   27
  24.7898	 785.152	   27
  24.7902	 785.171	   28
  24.7906	 785.191	   28
  24.7910	 785.210	   29
  24.7913	 785.230	   29
  24.7917	 785.250	   30
  24.7921	 785.269	   30
  24.7924	 785.289	   31
  24.7928	 785.308	   31
  24.7932	 785.328	   32
  24.7935	 785.347	   32
  24.7939	 785.367	   33
  24.7943	 785.387	   33
  24.7946	 785.406	   34
  24.7950	 785.426	   34
  24.7954	 785.445	   35
  24.7958	 785.465	   36
  24.7961	 785.484	   36
  24.7965	 785.504	   37
  24.7969	 785.524	   38
  24.7972	 785.543	   39
  24.7976	 785.563	   40
  24.7980	 785.582	   40
  24.7983	 785.602	   42
  24.7987	 785.621	   42
  24.7991	 785.641	   43
  24.7995	 785.661	   44
  24.7998	 785.680	   45
  24.8002	 785.700	   46
  24.8006	 785.719	   47
  24.8009	 785.739	   49
  24.8013	 785.758	   50
  24.8017	 785.778	   51
  24.8020	 785.797	   53
  24.8024	 785.817	   55
  24.8028	 785.837	   56
  24.8032	 785.856	   58
  24.8035	 785.876	   60
  24.8039	 785.895	   63
  24.8043	 785.915	   65
  24.8046	 785.934	   67
  24.8050	 785.954	   70
  24.8054	 785.974	   73
  24.8057	 785.993	   76
  24.8061	 786.013	   79
  24.8065	 786.032	   81
  24.8069	 786.052	   85
  24.8072	 786.071	   89
  24.8076	 786.091	   93
  24.8080	 786.111	   96
  24.8083	 786.130	  100
  24.8087	 786.150	  104
  24.8091	 786.169	  109
  24.8094	 786.189	  113
  24.8098	 786.208	  118
  24.8102	 786.228	  123
  24.8106	 786.247	  129
  24.8109	 786.267	  136
  24.8113	 786.287	  143
  24.8117	 786.306	  150
  24.8120	 786.326	  157
  24.8124	 786.345	  164
  24.8128	 786.365	  173
  24.8131	 786.384	  181
  24.8135	 786.404	  192
  24.8139	 786.424	  202
  24.8143	 786.443	  214
  24.8146	 786.463	  226
  24.8150	 786.482	  241
  24.8154	 786.502	  254
  24.8157	 786.521	  255
  24.8161	 786.541	  255
  24.8165	 786.561	  255
  24.8168	 786.580	  255
  24.8172	 786.600	  255
  24.8176	 786.619	  255
  24.8179	 786.639	  255
  24.8183	 786.658	  255
  24.8187	 786.678	  255
  24.8191	 786.698	  255
  24.8194	 786.717	  255
  24.8198	 786.737	  255
  24.8202	 786.756	  255
  24.8205	 786.776	  255
  24.8209	 786.795	  255
  24.8213	 786.815	  255
  24.8216	 786.834	  255
  24.8220	 786.854	  255
  24.8224	 786.874	  255
  24.8228	 786.893	  255
  24.8231	 786.913	  255
  24.8235	 786.932	  255
  24.8239	 786.952	  255
  24.8242	 786.971	  255
  24.8246	 786.991	  255
  24.8250	 787.011	  255
  24.8253	 787.030	  255
  24.8257	 787.050	  255
  24.8261	 787.069	  255
  24.8265	 787.089	  255
  24.8268	 787.108	  255
  24.8272	 787.128	  255
  24.8276	 787.148	  255
  24.8279	 787.167	  255
  24.8283	 787.187	  255
  24.8287	 787.206	  255
  24.8290	 787.226	  255
  24.8294	 787.245	  255
  24.8298	 787.265	  255
  24.8302	 787.284	  255
  24.8305	 787.304	  255
  24.8309	 787.324	  255
  24.8313	 787.343	  255
  24.8316	 787.363	  255
  24.8320	 787.382	  255
  24.8324	 787.402	  255
  24.8327	 787.421	  255
