d / dilky	  d / nm	signal
  23.9999	 743.359	    5
  24.0002	 743.378	    5
  24.0006	 743.398	    5
  24.0010	 743.418	    5
  24.0013	 743.437	    4
  24.0017	 743.457	    5
  24.0021	 743.476	    5
  24.0025	 743.496	    5
  24.0028	 743.515	    5
  24.0032	 743.535	    5
  24.0036	 743.555	    5
  24.0039	 743.574	    5
  24.0043	 743.594	    5
  24.0047	 743.613	    5
  24.0050	 743.633	    5
  24.0054	 743.652	    5
  24.0058	 743.672	    5
  24.0062	 743.692	    5
  24.0065	 743.711	    5
  24.0069	 743.731	    5
  24.0073	 743.750	    5
  24.0076	 743.770	    5
  24.0080	 743.789	    5
  24.0084	 743.809	    5
  24.0087	 743.828	    5
  24.0091	 743.848	    5
  24.0095	 743.868	    5
  24.0099	 743.887	    5
  24.0102	 743.907	    5
  24.0106	 743.926	    5
  24.0110	 743.946	    5
  24.0113	 743.965	    5
  24.0117	 743.985	    5
  24.0121	 744.005	    5
  24.0124	 744.024	    5
  24.0128	 744.044	    5
  24.0132	 744.063	    5
  24.0135	 744.083	    5
  24.0139	 744.102	    5
  24.0143	 744.122	    5
  24.0147	 744.142	    5
  24.0150	 744.161	    5
  24.0154	 744.181	    5
  24.0158	 744.200	    5
  24.0161	 744.220	    4
  24.0165	 744.239	    5
  24.0169	 744.259	    5
  24.0172	 744.279	    5
  24.0176	 744.298	    5
  24.0180	 744.318	    5
  24.0184	 744.337	    5
  24.0187	 744.357	    5
  24.0191	 744.376	    5
  24.0195	 744.396	    5
  24.0198	 744.415	    5
  24.0202	 744.435	    5
  24.0206	 744.455	    5
  24.0209	 744.474	    5
  24.0213	 744.494	    5
  24.0217	 744.513	    5
  24.0221	 744.533	    5
  24.0224	 744.552	    5
  24.0228	 744.572	    5
  24.0232	 744.592	    5
  24.0235	 744.611	    5
  24.0239	 744.631	    5
  24.0243	 744.650	    5
  24.0246	 744.670	    5
  24.0250	 744.689	    5
  24.0254	 744.709	    5
  24.0258	 744.729	    5
  24.0261	 744.748	    5
  24.0265	 744.768	    5
  24.0269	 744.787	    5
  24.0272	 744.807	    4
  24.0276	 744.826	    5
  24.0280	 744.846	    5
  24.0283	 744.865	    5
  24.0287	 744.885	    5
  24.0291	 744.905	    5
  24.0295	 744.924	    4
  24.0298	 744.944	    5
  24.0302	 744.963	    5
  24.0306	 744.983	    5
  24.0309	 745.002	    5
  24.0313	 745.022	    5
  24.0317	 745.042	    5
  24.0320	 745.061	    5
  24.0324	 745.081	    5
  24.0328	 745.100	    5
  24.0332	 745.120	    5
  24.0335	 745.139	    5
  24.0339	 745.159	    5
  24.0343	 745.179	    5
  24.0346	 745.198	    5
  24.0350	 745.218	    5
  24.0354	 745.237	    5
  24.0357	 745.257	    5
  24.0361	 745.276	    5
  24.0365	 745.296	    5
  24.0368	 745.315	    5
  24.0372	 745.335	    5
  24.0376	 745.355	    5
  24.0380	 745.374	    5
  24.0383	 745.394	    5
  24.0387	 745.413	    5
  24.0391	 745.433	    5
  24.0394	 745.452	    5
  24.0398	 745.472	    5
  24.0402	 745.492	    5
  24.0405	 745.511	    5
  24.0409	 745.531	    5
  24.0413	 745.550	    5
  24.0417	 745.570	    5
  24.0420	 745.589	    5
  24.0424	 745.609	    5
  24.0428	 745.629	    5
  24.0431	 745.648	    5
  24.0435	 745.668	    5
  24.0439	 745.687	    5
  24.0442	 745.707	    5
  24.0446	 745.726	    5
  24.0450	 745.746	    5
  24.0454	 745.766	    5
  24.0457	 745.785	    4
  24.0461	 745.805	    5
  24.0465	 745.824	    5
  24.0468	 745.844	    5
  24.0472	 745.863	    5
  24.0476	 745.883	    5
  24.0479	 745.902	    5
  24.0483	 745.922	    5
  24.0487	 745.942	    5
  24.0491	 745.961	    5
  24.0494	 745.981	    5
  24.0498	 746.000	    5
  24.0502	 746.020	    5
  24.0505	 746.039	    5
  24.0509	 746.059	    5
  24.0513	 746.079	    5
  24.0516	 746.098	    5
  24.0520	 746.118	    5
  24.0524	 746.137	    5
  24.0528	 746.157	    5
  24.0531	 746.176	    5
  24.0535	 746.196	    5
  24.0539	 746.216	    5
  24.0542	 746.235	    5
  24.0546	 746.255	    5
  24.0550	 746.274	    5
  24.0553	 746.294	    5
  24.0557	 746.313	    5
  24.0561	 746.333	    5
  24.0565	 746.352	    5
  24.0568	 746.372	    5
  24.0572	 746.392	    5
  24.0576	 746.411	    5
  24.0579	 746.431	    5
  24.0583	 746.450	    5
  24.0587	 746.470	    5
  24.0590	 746.489	    5
  24.0594	 746.509	    5
  24.0598	 746.529	    5
  24.0601	 746.548	    5
  24.0605	 746.568	    5
  24.0609	 746.587	    5
  24.0613	 746.607	    5
  24.0616	 746.626	    5
  24.0620	 746.646	    5
  24.0624	 746.666	    5
  24.0627	 746.685	    5
  24.0631	 746.705	    5
  24.0635	 746.724	    5
  24.0638	 746.744	    5
  24.0642	 746.763	    5
  24.0646	 746.783	    5
  24.0650	 746.803	    5
  24.0653	 746.822	    5
  24.0657	 746.842	    5
  24.0661	 746.861	    5
  24.0664	 746.881	    5
  24.0668	 746.900	    5
  24.0672	 746.920	    5
  24.0675	 746.939	    5
  24.0679	 746.959	    5
  24.0683	 746.979	    5
  24.0687	 746.998	    5
  24.0690	 747.018	    5
  24.0694	 747.037	    5
  24.0698	 747.057	    5
  24.0701	 747.076	    5
  24.0705	 747.096	    5
  24.0709	 747.116	    4
  24.0712	 747.135	    5
  24.0716	 747.155	    5
  24.0720	 747.174	    5
  24.0724	 747.194	    4
  24.0727	 747.213	    5
  24.0731	 747.233	    5
  24.0735	 747.253	    5
  24.0738	 747.272	    5
  24.0742	 747.292	    5
  24.0746	 747.311	    5
  24.0749	 747.331	    5
  24.0753	 747.350	    5
  24.0757	 747.370	    5
  24.0761	 747.389	    5
  24.0764	 747.409	    5
  24.0768	 747.429	    5
  24.0772	 747.448	    5
  24.0775	 747.468	    4
  24.0779	 747.487	    5
  24.0783	 747.507	    5
  24.0786	 747.526	    5
  24.0790	 747.546	    4
  24.0794	 747.566	    5
  24.0798	 747.585	    5
  24.0801	 747.605	    5
  24.0805	 747.624	    5
  24.0809	 747.644	    5
  24.0812	 747.663	    5
  24.0816	 747.683	    5
  24.0820	 747.703	    4
  24.0823	 747.722	    5
  24.0827	 747.742	    4
  24.0831	 747.761	    5
  24.0834	 747.781	    5
  24.0838	 747.800	    5
  24.0842	 747.820	    4
  24.0846	 747.840	    5
  24.0849	 747.859	    5
  24.0853	 747.879	    5
  24.0857	 747.898	    4
  24.0860	 747.918	    5
  24.0864	 747.937	    5
  24.0868	 747.957	    5
  24.0871	 747.976	    5
  24.0875	 747.996	    5
  24.0879	 748.016	    4
  24.0883	 748.035	    5
  24.0886	 748.055	    4
  24.0890	 748.074	    5
  24.0894	 748.094	    5
  24.0897	 748.113	    5
  24.0901	 748.133	    4
  24.0905	 748.153	    5
  24.0908	 748.172	    5
  24.0912	 748.192	    5
  24.0916	 748.211	    5
  24.0920	 748.231	    5
  24.0923	 748.250	    4
  24.0927	 748.270	    5
  24.0931	 748.290	    4
  24.0934	 748.309	    5
  24.0938	 748.329	    5
  24.0942	 748.348	    5
  24.0945	 748.368	    5
  24.0949	 748.387	    5
  24.0953	 748.407	    4
  24.0957	 748.426	    5
  24.0960	 748.446	    5
  24.0964	 748.466	    5
  24.0968	 748.485	    4
  24.0971	 748.505	    5
  24.0975	 748.524	    5
  24.0979	 748.544	    5
  24.0982	 748.563	    5
  24.0986	 748.583	    5
  24.0990	 748.603	    4
  24.0994	 748.622	    5
  24.0997	 748.642	    4
  24.1001	 748.661	    5
  24.1005	 748.681	    4
  24.1008	 748.700	    5
  24.1012	 748.720	    5
  24.1016	 748.740	    5
  24.1019	 748.759	    4
  24.1023	 748.779	    5
  24.1027	 748.798	    5
  24.1031	 748.818	    5
  24.1034	 748.837	    5
  24.1038	 748.857	    5
  24.1042	 748.877	    5
  24.1045	 748.896	    5
  24.1049	 748.916	    5
  24.1053	 748.935	    5
  24.1056	 748.955	    5
  24.1060	 748.974	    5
  24.1064	 748.994	    5
  24.1067	 749.013	    5
  24.1071	 749.033	    5
  24.1075	 749.053	    5
  24.1079	 749.072	    5
  24.1082	 749.092	    5
  24.1086	 749.111	    4
  24.1090	 749.131	    5
  24.1093	 749.150	    4
  24.1097	 749.170	    5
  24.1101	 749.190	    5
  24.1104	 749.209	    5
  24.1108	 749.229	    5
  24.1112	 749.248	    5
  24.1116	 749.268	    5
  24.1119	 749.287	    5
  24.1123	 749.307	    5
  24.1127	 749.327	    5
  24.1130	 749.346	    5
  24.1134	 749.366	    5
  24.1138	 749.385	    5
  24.1141	 749.405	    5
  24.1145	 749.424	    5
  24.1149	 749.444	    5
  24.1153	 749.463	    5
  24.1156	 749.483	    5
  24.1160	 749.503	    5
  24.1164	 749.522	    5
  24.1167	 749.542	    5
  24.1171	 749.561	    5
  24.1175	 749.581	    5
  24.1178	 749.600	    5
  24.1182	 749.620	    5
  24.1186	 749.640	    5
  24.1190	 749.659	    5
  24.1193	 749.679	    5
  24.1197	 749.698	    5
  24.1201	 749.718	    5
  24.1204	 749.737	    5
  24.1208	 749.757	    5
  24.1212	 749.777	    5
  24.1215	 749.796	    5
  24.1219	 749.816	    5
  24.1223	 749.835	    5
  24.1227	 749.855	    5
  24.1230	 749.874	    5
  24.1234	 749.894	    4
  24.1238	 749.913	    5
  24.1241	 749.933	    4
  24.1245	 749.953	    5
  24.1249	 749.972	    5
  24.1252	 749.992	    5
  24.1256	 750.011	    4
  24.1260	 750.031	    5
  24.1264	 750.050	    5
  24.1267	 750.070	    5
  24.1271	 750.090	    5
  24.1275	 750.109	    5
  24.1278	 750.129	    4
  24.1282	 750.148	    5
  24.1286	 750.168	    5
  24.1289	 750.187	    5
  24.1293	 750.207	    5
  24.1297	 750.227	    5
  24.1300	 750.246	    5
  24.1304	 750.266	    5
  24.1308	 750.285	    5
  24.1312	 750.305	    5
  24.1315	 750.324	    5
  24.1319	 750.344	    5
  24.1323	 750.364	    5
  24.1326	 750.383	    5
  24.1330	 750.403	    5
  24.1334	 750.422	    5
  24.1337	 750.442	    5
  24.1341	 750.461	    5
  24.1345	 750.481	    4
  24.1349	 750.500	    5
  24.1352	 750.520	    4
  24.1356	 750.540	    5
  24.1360	 750.559	    5
  24.1363	 750.579	    5
  24.1367	 750.598	    4
  24.1371	 750.618	    5
  24.1374	 750.637	    5
  24.1378	 750.657	    5
  24.1382	 750.677	    5
  24.1386	 750.696	    5
  24.1389	 750.716	    5
  24.1393	 750.735	    5
  24.1397	 750.755	    5
  24.1400	 750.774	    5
  24.1404	 750.794	    5
  24.1408	 750.814	    5
  24.1411	 750.833	    5
  24.1415	 750.853	    5
  24.1419	 750.872	    5
  24.1423	 750.892	    5
  24.1426	 750.911	    5
  24.1430	 750.931	    5
  24.1434	 750.950	    5
  24.1437	 750.970	    5
  24.1441	 750.990	    5
  24.1445	 751.009	    5
  24.1448	 751.029	    4
  24.1452	 751.048	    5
  24.1456	 751.068	    5
  24.1460	 751.087	    5
  24.1463	 751.107	    5
  24.1467	 751.127	    5
  24.1471	 751.146	    4
  24.1474	 751.166	    5
  24.1478	 751.185	    4
  24.1482	 751.205	    5
  24.1485	 751.224	    4
  24.1489	 751.244	    5
  24.1493	 751.264	    5
  24.1497	 751.283	    5
  24.1500	 751.303	    4
  24.1504	 751.322	    5
  24.1508	 751.342	    4
  24.1511	 751.361	    5
  24.1515	 751.381	    4
  24.1519	 751.401	    5
  24.1522	 751.420	    4
  24.1526	 751.440	    5
  24.1530	 751.459	    4
  24.1533	 751.479	    5
  24.1537	 751.498	    4
  24.1541	 751.518	    5
  24.1545	 751.537	    4
  24.1548	 751.557	    5
  24.1552	 751.577	    4
  24.1556	 751.596	    5
  24.1559	 751.616	    4
  24.1563	 751.635	    5
  24.1567	 751.655	    4
  24.1570	 751.674	    5
  24.1574	 751.694	    4
  24.1578	 751.714	    5
  24.1582	 751.733	    5
  24.1585	 751.753	    5
  24.1589	 751.772	    4
  24.1593	 751.792	    5
  24.1596	 751.811	    4
  24.1600	 751.831	    5
  24.1604	 751.851	    4
  24.1607	 751.870	    5
  24.1611	 751.890	    4
  24.1615	 751.909	    5
  24.1619	 751.929	    4
  24.1622	 751.948	    5
  24.1626	 751.968	    4
  24.1630	 751.987	    5
  24.1633	 752.007	    4
  24.1637	 752.027	    5
  24.1641	 752.046	    4
  24.1644	 752.066	    5
  24.1648	 752.085	    5
  24.1652	 752.105	    5
  24.1656	 752.124	    4
  24.1659	 752.144	    5
  24.1663	 752.164	    4
  24.1667	 752.183	    5
  24.1670	 752.203	    4
  24.1674	 752.222	    5
  24.1678	 752.242	    4
  24.1681	 752.261	    5
  24.1685	 752.281	    4
  24.1689	 752.301	    5
  24.1693	 752.320	    4
  24.1696	 752.340	    5
  24.1700	 752.359	    4
  24.1704	 752.379	    5
  24.1707	 752.398	    4
  24.1711	 752.418	    5
  24.1715	 752.438	    4
  24.1718	 752.457	    5
  24.1722	 752.477	    4
  24.1726	 752.496	    5
  24.1730	 752.516	    4
  24.1733	 752.535	    5
  24.1737	 752.555	    4
  24.1741	 752.574	    5
  24.1744	 752.594	    4
  24.1748	 752.614	    5
  24.1752	 752.633	    4
  24.1755	 752.653	    5
  24.1759	 752.672	    4
  24.1763	 752.692	    5
  24.1766	 752.711	    5
  24.1770	 752.731	    5
  24.1774	 752.751	    5
  24.1778	 752.770	    5
  24.1781	 752.790	    4
  24.1785	 752.809	    5
  24.1789	 752.829	    4
  24.1792	 752.848	    5
  24.1796	 752.868	    5
  24.1800	 752.888	    5
  24.1803	 752.907	    5
  24.1807	 752.927	    5
  24.1811	 752.946	    5
  24.1815	 752.966	    5
  24.1818	 752.985	    5
  24.1822	 753.005	    5
  24.1826	 753.024	    5
  24.1829	 753.044	    5
  24.1833	 753.064	    4
  24.1837	 753.083	    5
  24.1840	 753.103	    5
  24.1844	 753.122	    5
  24.1848	 753.142	    4
  24.1852	 753.161	    5
  24.1855	 753.181	    5
  24.1859	 753.201	    5
  24.1863	 753.220	    5
  24.1866	 753.240	    5
  24.1870	 753.259	    5
  24.1874	 753.279	    5
  24.1877	 753.298	    5
  24.1881	 753.318	    5
  24.1885	 753.338	    5
  24.1889	 753.357	    5
  24.1892	 753.377	    4
  24.1896	 753.396	    5
  24.1900	 753.416	    5
  24.1903	 753.435	    5
  24.1907	 753.455	    5
  24.1911	 753.475	    5
  24.1914	 753.494	    5
  24.1918	 753.514	    5
  24.1922	 753.533	    4
  24.1926	 753.553	    5
  24.1929	 753.572	    5
  24.1933	 753.592	    5
  24.1937	 753.611	    5
  24.1940	 753.631	    5
  24.1944	 753.651	    4
  24.1948	 753.670	    5
  24.1951	 753.690	    5
  24.1955	 753.709	    5
  24.1959	 753.729	    5
  24.1963	 753.748	    5
  24.1966	 753.768	    4
  24.1970	 753.788	    5
  24.1974	 753.807	    4
  24.1977	 753.827	    5
  24.1981	 753.846	    5
  24.1985	 753.866	    5
  24.1988	 753.885	    5
  24.1992	 753.905	    5
  24.1996	 753.925	    5
  24.1999	 753.944	    5
  24.2003	 753.964	    5
  24.2007	 753.983	    5
  24.2011	 754.003	    5
  24.2014	 754.022	    5
  24.2018	 754.042	    5
  24.2022	 754.061	    5
  24.2025	 754.081	    5
  24.2029	 754.101	    5
  24.2033	 754.120	    4
  24.2036	 754.140	    5
  24.2040	 754.159	    4
  24.2044	 754.179	    5
  24.2048	 754.198	    5
  24.2051	 754.218	    5
  24.2055	 754.238	    5
  24.2059	 754.257	    5
  24.2062	 754.277	    5
  24.2066	 754.296	    5
  24.2070	 754.316	    5
  24.2073	 754.335	    5
  24.2077	 754.355	    5
  24.2081	 754.375	    5
  24.2085	 754.394	    5
  24.2088	 754.414	    5
  24.2092	 754.433	    5
  24.2096	 754.453	    5
  24.2099	 754.472	    5
  24.2103	 754.492	    5
  24.2107	 754.511	    4
  24.2110	 754.531	    5
  24.2114	 754.551	    5
  24.2118	 754.570	    5
  24.2122	 754.590	    5
  24.2125	 754.609	    5
  24.2129	 754.629	    5
  24.2133	 754.648	    5
  24.2136	 754.668	    5
  24.2140	 754.688	    5
  24.2144	 754.707	    4
  24.2147	 754.727	    5
  24.2151	 754.746	    5
  24.2155	 754.766	    5
  24.2159	 754.785	    5
  24.2162	 754.805	    5
  24.2166	 754.825	    5
  24.2170	 754.844	    5
  24.2173	 754.864	    5
  24.2177	 754.883	    5
  24.2181	 754.903	    5
  24.2184	 754.922	    5
  24.2188	 754.942	    4
  24.2192	 754.962	    5
  24.2196	 754.981	    5
  24.2199	 755.001	    5
  24.2203	 755.020	    5
  24.2207	 755.040	    5
  24.2210	 755.059	    4
  24.2214	 755.079	    5
  24.2218	 755.098	    5
  24.2221	 755.118	    5
  24.2225	 755.138	    5
  24.2229	 755.157	    5
  24.2232	 755.177	    4
  24.2236	 755.196	    5
  24.2240	 755.216	    4
  24.2244	 755.235	    5
  24.2247	 755.255	    5
  24.2251	 755.275	    5
  24.2255	 755.294	    5
  24.2258	 755.314	    5
  24.2262	 755.333	    5
  24.2266	 755.353	    5
  24.2269	 755.372	    5
  24.2273	 755.392	    5
  24.2277	 755.412	    5
  24.2281	 755.431	    5
  24.2284	 755.451	    5
  24.2288	 755.470	    5
  24.2292	 755.490	    5
  24.2295	 755.509	    5
  24.2299	 755.529	    5
  24.2303	 755.548	    5
