d / dilky	  d / nm	signal
  17.0839	 377.475	    8
  17.0842	 377.495	    8
  17.0846	 377.515	    8
  17.0850	 377.534	    9
  17.0854	 377.554	    9
  17.0857	 377.573	    9
  17.0861	 377.593	    9
  17.0865	 377.612	    9
  17.0868	 377.632	    9
  17.0872	 377.651	    9
  17.0876	 377.671	    9
  17.0879	 377.691	    9
  17.0883	 377.710	    8
  17.0887	 377.730	    8
  17.0891	 377.749	    8
  17.0894	 377.769	    8
  17.0898	 377.788	    8
  17.0902	 377.808	    8
  17.0905	 377.828	    8
  17.0909	 377.847	    8
  17.0913	 377.867	    8
  17.0916	 377.886	    8
  17.0920	 377.906	    8
  17.0924	 377.925	    8
  17.0928	 377.945	    8
  17.0931	 377.965	    8
  17.0935	 377.984	    7
  17.0939	 378.004	    8
  17.0942	 378.023	    7
  17.0946	 378.043	    8
  17.0950	 378.062	    7
  17.0953	 378.082	    8
  17.0957	 378.101	    7
  17.0961	 378.121	    8
  17.0965	 378.141	    7
  17.0968	 378.160	    8
  17.0972	 378.180	    7
  17.0976	 378.199	    8
  17.0979	 378.219	    7
  17.0983	 378.238	    8
  17.0987	 378.258	    7
  17.0990	 378.278	    7
  17.0994	 378.297	    7
  17.0998	 378.317	    8
  17.1001	 378.336	    7
  17.1005	 378.356	    8
  17.1009	 378.375	    7
  17.1013	 378.395	    8
  17.1016	 378.415	    7
  17.1020	 378.434	    8
  17.1024	 378.454	    7
  17.1027	 378.473	    7
  17.1031	 378.493	    7
  17.1035	 378.512	    7
  17.1038	 378.532	    7
  17.1042	 378.552	    7
  17.1046	 378.571	    7
  17.1050	 378.591	    8
  17.1053	 378.610	    7
  17.1057	 378.630	    8
  17.1061	 378.649	    7
  17.1064	 378.669	    8
  17.1068	 378.688	    7
  17.1072	 378.708	    8
  17.1075	 378.728	    7
  17.1079	 378.747	    8
  17.1083	 378.767	    7
  17.1087	 378.786	    8
  17.1090	 378.806	    7
  17.1094	 378.825	    8
  17.1098	 378.845	    7
  17.1101	 378.865	    8
  17.1105	 378.884	    8
  17.1109	 378.904	    8
  17.1112	 378.923	    8
  17.1116	 378.943	    8
  17.1120	 378.962	    7
  17.1124	 378.982	    8
  17.1127	 379.002	    7
  17.1131	 379.021	    8
  17.1135	 379.041	    8
  17.1138	 379.060	    8
  17.1142	 379.080	    8
  17.1146	 379.099	    8
  17.1149	 379.119	    8
  17.1153	 379.138	    8
  17.1157	 379.158	    8
  17.1161	 379.178	    8
  17.1164	 379.197	    8
  17.1168	 379.217	    8
  17.1172	 379.236	    8
  17.1175	 379.256	    8
  17.1179	 379.275	    8
  17.1183	 379.295	    9
  17.1186	 379.315	    9
  17.1190	 379.334	    9
  17.1194	 379.354	    9
  17.1198	 379.373	   10
  17.1201	 379.393	   10
  17.1205	 379.412	   10
  17.1209	 379.432	   11
  17.1212	 379.452	   12
  17.1216	 379.471	   12
  17.1220	 379.491	   12
  17.1223	 379.510	   13
  17.1227	 379.530	   14
  17.1231	 379.549	   14
  17.1234	 379.569	   15
  17.1238	 379.588	   15
  17.1242	 379.608	   16
  17.1246	 379.628	   16
  17.1249	 379.647	   16
  17.1253	 379.667	   16
  17.1257	 379.686	   15
  17.1260	 379.706	   15
  17.1264	 379.725	   15
  17.1268	 379.745	   14
  17.1271	 379.765	   13
  17.1275	 379.784	   13
  17.1279	 379.804	   12
  17.1283	 379.823	   12
  17.1286	 379.843	   11
  17.1290	 379.862	   11
  17.1294	 379.882	   11
  17.1297	 379.902	   10
  17.1301	 379.921	   10
  17.1305	 379.941	    9
  17.1308	 379.960	    9
  17.1312	 379.980	    9
  17.1316	 379.999	    9
  17.1320	 380.019	    9
  17.1323	 380.039	    9
  17.1327	 380.058	    8
  17.1331	 380.078	    8
  17.1334	 380.097	    8
  17.1338	 380.117	    8
  17.1342	 380.136	    8
  17.1345	 380.156	    8
  17.1349	 380.175	    8
  17.1353	 380.195	    8
  17.1357	 380.215	    8
  17.1360	 380.234	    8
  17.1364	 380.254	    8
  17.1368	 380.273	    8
  17.1371	 380.293	    8
  17.1375	 380.312	    8
  17.1379	 380.332	    8
  17.1382	 380.352	    8
  17.1386	 380.371	    8
  17.1390	 380.391	    8
  17.1394	 380.410	    8
  17.1397	 380.430	    8
  17.1401	 380.449	    8
  17.1405	 380.469	    8
  17.1408	 380.489	    8
  17.1412	 380.508	    8
  17.1416	 380.528	    8
  17.1419	 380.547	    8
  17.1423	 380.567	    8
  17.1427	 380.586	    8
  17.1431	 380.606	    8
  17.1434	 380.625	    8
  17.1438	 380.645	    8
  17.1442	 380.665	    8
  17.1445	 380.684	    8
  17.1449	 380.704	    9
  17.1453	 380.723	    9
  17.1456	 380.743	    9
  17.1460	 380.762	    9
  17.1464	 380.782	    9
  17.1467	 380.802	    9
  17.1471	 380.821	    9
  17.1475	 380.841	    9
  17.1479	 380.860	    9
  17.1482	 380.880	    9
  17.1486	 380.899	    9
  17.1490	 380.919	    9
  17.1493	 380.939	    9
  17.1497	 380.958	    8
  17.1501	 380.978	    8
  17.1504	 380.997	    8
  17.1508	 381.017	    8
  17.1512	 381.036	    8
  17.1516	 381.056	    8
  17.1519	 381.076	    8
  17.1523	 381.095	    8
  17.1527	 381.115	    8
  17.1530	 381.134	    8
  17.1534	 381.154	    8
  17.1538	 381.173	    8
  17.1541	 381.193	    8
  17.1545	 381.212	    8
  17.1549	 381.232	    8
  17.1553	 381.252	    8
  17.1556	 381.271	    8
  17.1560	 381.291	    8
  17.1564	 381.310	    8
  17.1567	 381.330	    8
  17.1571	 381.349	    8
  17.1575	 381.369	    8
  17.1578	 381.389	    8
