d / dilky	  d / nm	signal
  24.6001	 775.114	    6
  24.6005	 775.134	    6
  24.6009	 775.154	    6
  24.6012	 775.173	    6
  24.6016	 775.193	    6
  24.6020	 775.212	    6
  24.6023	 775.232	    6
  24.6027	 775.251	    6
  24.6031	 775.271	    6
  24.6034	 775.291	    6
  24.6038	 775.310	    6
  24.6042	 775.330	    6
  24.6046	 775.349	    6
  24.6049	 775.369	    6
  24.6053	 775.388	    6
  24.6057	 775.408	    6
  24.6060	 775.428	    6
  24.6064	 775.447	    6
  24.6068	 775.467	    6
  24.6071	 775.486	    6
  24.6075	 775.506	    6
  24.6079	 775.525	    6
  24.6083	 775.545	    6
  24.6086	 775.564	    6
  24.6090	 775.584	    6
  24.6094	 775.604	    6
  24.6097	 775.623	    6
  24.6101	 775.643	    6
  24.6105	 775.662	    6
  24.6108	 775.682	    6
  24.6112	 775.701	    6
  24.6116	 775.721	    6
  24.6119	 775.741	    6
  24.6123	 775.760	    6
  24.6127	 775.780	    6
  24.6131	 775.799	    6
  24.6134	 775.819	    6
  24.6138	 775.838	    6
  24.6142	 775.858	    6
  24.6145	 775.878	    6
  24.6149	 775.897	    6
  24.6153	 775.917	    6
  24.6156	 775.936	    6
  24.6160	 775.956	    6
  24.6164	 775.975	    6
  24.6168	 775.995	    6
  24.6171	 776.014	    6
  24.6175	 776.034	    6
  24.6179	 776.054	    6
  24.6182	 776.073	    6
  24.6186	 776.093	    6
  24.6190	 776.112	    6
  24.6193	 776.132	    6
  24.6197	 776.151	    6
  24.6201	 776.171	    6
  24.6205	 776.191	    6
  24.6208	 776.210	    6
  24.6212	 776.230	    6
  24.6216	 776.249	    6
  24.6219	 776.269	    6
  24.6223	 776.288	    6
  24.6227	 776.308	    6
  24.6230	 776.328	    6
  24.6234	 776.347	    6
  24.6238	 776.367	    6
  24.6242	 776.386	    6
  24.6245	 776.406	    6
  24.6249	 776.425	    6
  24.6253	 776.445	    6
  24.6256	 776.465	    6
  24.6260	 776.484	    6
  24.6264	 776.504	    6
  24.6267	 776.523	    6
  24.6271	 776.543	    6
  24.6275	 776.562	    6
  24.6279	 776.582	    6
  24.6282	 776.601	    6
  24.6286	 776.621	    6
  24.6290	 776.641	    6
  24.6293	 776.660	    6
  24.6297	 776.680	    6
  24.6301	 776.699	    6
  24.6304	 776.719	    6
  24.6308	 776.738	    6
  24.6312	 776.758	    6
  24.6316	 776.778	    6
  24.6319	 776.797	    6
  24.6323	 776.817	    6
  24.6327	 776.836	    6
  24.6330	 776.856	    6
  24.6334	 776.875	    6
  24.6338	 776.895	    6
  24.6341	 776.915	    6
  24.6345	 776.934	    6
  24.6349	 776.954	    6
  24.6352	 776.973	    6
  24.6356	 776.993	    6
  24.6360	 777.012	    6
  24.6364	 777.032	    6
  24.6367	 777.051	    6
  24.6371	 777.071	    6
  24.6375	 777.091	    6
  24.6378	 777.110	    6
  24.6382	 777.130	    6
  24.6386	 777.149	    6
